,20161223_1_1.csv,20161223_1_2.csv,20161223_6_1.csv,20161223_6_3.csv,20161226_1_1.csv,20161226_4_1.csv,20161226_4_2.csv,20161227_2_1.csv,20161227_2_3.csv,20161227_5_1.csv,20180320_1_3.csv,20180320_2_1.csv,20180320_2_2.csv,sample1_8_4.csv,,
0,0.734299517,0.688787185,0.718855219,0.75257732,0.85042735,0.696428571,0.730994152,0.691489362,0.760416667,0.658469945,0.454545455,0.861111111,0.841121495,0.580645161,0.715726322,0.103638915
1,0.765700483,0.723112128,0.737373737,0.810996564,0.837606838,0.773351648,0.888888889,0.691489362,0.774305556,0.797814208,0.436363636,0.75,0.841121495,0.541935484,0.740718573,0.11570159
2,0.765700483,0.723112128,0.737373737,0.810996564,0.837606838,0.773351648,0.888888889,0.691489362,0.774305556,0.797814208,0.436363636,0.75,0.841121495,0.541935484,0.740718573,0.11570159
3,0.81884058,0.748283753,0.779461279,0.841924399,0.803418803,0.820054945,0.900584795,0.75,0.791666667,0.833333333,0.381818182,0.5,0.775700935,0.509677419,0.732483221,0.147685776
4,0.855072464,0.80778032,0.794612795,0.879725086,0.803418803,0.802197802,0.906432749,0.744680851,0.798611111,0.844262295,0.418181818,0.416666667,0.813084112,0.516129032,0.742918279,0.158949976
5,0.734299517,0.693363844,0.728956229,0.556701031,0.858974359,0.693681319,0.719298246,0.691489362,0.774305556,0.636612022,0.272727273,0.416666667,0.841121495,0.567741935,0.65613849,0.153809742
6,0.746376812,0.71395881,0.715488215,0.76975945,0.846153846,0.739010989,0.830409357,0.739361702,0.795138889,0.767759563,0.509090909,0.472222222,0.831775701,0.516129032,0.713759678,0.119339013
7,0.775362319,0.736842105,0.750841751,0.800687285,0.816239316,0.804945055,0.888888889,0.691489362,0.819444444,0.827868852,0.409090909,0.583333333,0.869158879,0.529032258,0.735944626,0.13326912
8,0.857487923,0.798627002,0.801346801,0.896907216,0.790598291,0.793956044,0.935672515,0.776595745,0.78125,0.838797814,0.354545455,0.527777778,0.738317757,0.55483871,0.746194218,0.153424875
9,0.731884058,0.693363844,0.71043771,0.694158076,0.85042735,0.690934066,0.719298246,0.691489362,0.763888889,0.633879781,0.245454545,0.555555556,0.878504673,0.55483871,0.672436776,0.147015077
10,0.765700483,0.71395881,0.725589226,0.735395189,0.846153846,0.739010989,0.847953216,0.728723404,0.795138889,0.745901639,0.509090909,0.444444444,0.85046729,0.529032258,0.712611471,0.123801108
11,0.799516908,0.748283753,0.765993266,0.81443299,0.837606838,0.770604396,0.888888889,0.739361702,0.795138889,0.81147541,0.472727273,0.472222222,0.822429907,0.529032258,0.733408193,0.132136636
12,0.855072464,0.80778032,0.794612795,0.879725086,0.803418803,0.802197802,0.906432749,0.744680851,0.798611111,0.844262295,0.418181818,0.416666667,0.813084112,0.516129032,0.742918279,0.158949976
13,0.823671498,0.76201373,0.776094276,0.83161512,0.799145299,0.806318681,0.935672515,0.723404255,0.809027778,0.836065574,0.363636364,0.722222222,0.859813084,0.541935484,0.756473991,0.138714876
14,0.724637681,0.675057208,0.71043771,0.742268041,0.846153846,0.684065934,0.730994152,0.691489362,0.760416667,0.639344262,0.427272727,0.861111111,0.859813084,0.574193548,0.709089667,0.111371202
15,0.760869565,0.71395881,0.707070707,0.762886598,0.841880342,0.741758242,0.830409357,0.755319149,0.791666667,0.759562842,0.536363636,0.472222222,0.869158879,0.529032258,0.719439948,0.117415405
16,0.801932367,0.736842105,0.764309764,0.81443299,0.829059829,0.78021978,0.888888889,0.739361702,0.795138889,0.81420765,0.381818182,0.472222222,0.76635514,0.541935484,0.7233375,0.142997963
17,0.862318841,0.800915332,0.794612795,0.855670103,0.816239316,0.800824176,0.900584795,0.755319149,0.795138889,0.852459016,0.472727273,0.472222222,0.747663551,0.529032258,0.746837694,0.139721
18,0.734299517,0.693363844,0.728956229,0.556701031,0.858974359,0.693681319,0.719298246,0.691489362,0.774305556,0.636612022,0.272727273,0.416666667,0.841121495,0.567741935,0.65613849,0.153809742
19,0.746376812,0.71395881,0.715488215,0.76975945,0.846153846,0.739010989,0.830409357,0.739361702,0.795138889,0.767759563,0.509090909,0.472222222,0.831775701,0.516129032,0.713759678,0.119339013
20,0.775362319,0.736842105,0.750841751,0.800687285,0.816239316,0.804945055,0.888888889,0.691489362,0.819444444,0.827868852,0.409090909,0.583333333,0.869158879,0.529032258,0.735944626,0.13326912
21,0.857487923,0.798627002,0.801346801,0.896907216,0.790598291,0.793956044,0.935672515,0.776595745,0.78125,0.838797814,0.354545455,0.527777778,0.738317757,0.55483871,0.746194218,0.153424875
22,0.731884058,0.693363844,0.71043771,0.694158076,0.85042735,0.690934066,0.719298246,0.691489362,0.763888889,0.633879781,0.245454545,0.555555556,0.878504673,0.55483871,0.672436776,0.147015077
23,0.765700483,0.71395881,0.725589226,0.735395189,0.846153846,0.739010989,0.847953216,0.728723404,0.795138889,0.745901639,0.509090909,0.444444444,0.85046729,0.529032258,0.712611471,0.123801108
24,0.799516908,0.748283753,0.765993266,0.81443299,0.837606838,0.770604396,0.888888889,0.739361702,0.795138889,0.81147541,0.472727273,0.472222222,0.822429907,0.529032258,0.733408193,0.132136636
